,year,title,n_steps,start_length,end_length,compression
010_1994,1994,1,110,35265.57432146954,32670.764790930414,0.9264208911817037
010_1995,1995,1,110,35265.57432146954,32670.764790930414,0.9264208911817037
010_1996,1996,1,111,35931.81589409202,33275.828606264695,0.9260825755187055
010_1997,1997,1,111,35931.81589409202,33275.828606264695,0.9260825755187055
010_1998,1998,1,111,35931.81589409202,33275.828606264695,0.9260825755187055
010_1999,1999,1,111,35931.81589409202,33275.828606264695,0.9260825755187055
010_2000,2000,1,111,35931.81589409202,33275.828606264695,0.9260825755187055
010_2001,2001,1,111,35931.81589409202,33275.828606264695,0.9260825755187055
010_2002,2002,1,114,38005.88009714434,35233.07199917334,0.9270426552185187
010_2003,2003,1,114,38005.88009714434,35233.07199917334,0.9270426552185187
010_2004,2004,1,122,40431.64030523797,37397.75963205336,0.9249627111272168
010_2005,2005,1,122,40431.64030523797,37397.75963205336,0.9249627111272168
010_2006,2006,1,122,40431.64030523797,37397.75963205336,0.9249627111272168
010_2007,2007,1,122,40431.64030523797,37397.75963205336,0.9249627111272168
010_2008,2008,1,122,40431.64030523797,37397.75963205336,0.9249627111272168
010_2009,2009,1,122,40431.64030523797,37397.75963205336,0.9249627111272168
010_2010,2010,1,122,40431.64030523797,37397.75963205336,0.9249627111272168
010_2011,2011,1,122,40431.64030523797,37397.75963205336,0.9249627111272168
010_2012,2012,1,122,40379.10956480394,37345.25093064866,0.9248656380278452
010_2013,2013,1,115,38536.38765912743,35743.81111371327,0.9275340343232008
010_2014,2014,1,118,38598.34245697677,35761.71133550086,0.9265089912957344
010_2015,2015,1,118,38598.34245697677,35761.71133550086,0.9265089912957344
010_2016,2016,1,118,38598.34245697677,35761.71133550086,0.9265089912957344
010_2017,2017,1,118,38598.34245697677,35761.71133550086,0.9265089912957344
010_2018,2018,1,118,38598.34245697677,35761.71133550086,0.9265089912957344
010_2019,2019,1,118,38598.34245697677,35761.71133550086,0.9265089912957344
020_1994,1994,2,3954,1512901.220580282,1211438.1687272692,0.8007384436259594
020_1995,1995,2,4174,1686037.952304782,1350026.848932645,0.8007096442207506
020_1996,1996,2,4227,1691623.9811522434,1350764.8432633816,0.7985018291968841
020_1997,1997,2,4110,1656377.4731425152,1328409.9106024287,0.8019970883099132
020_1998,1998,2,4173,1680347.2115462492,1344971.3998030298,0.8004127900241476
020_1999,1999,2,4193,1690819.3365277078,1354500.1160169968,0.8010909780571938
020_2000,2000,2,4350,1779289.4924310588,1424033.9704445545,0.800338548899586
020_2001,2001,2,4396,1810258.2944753254,1445516.4098747529,0.7985138995281957
020_2002,2002,2,4843,2133890.0620915573,1693460.4901775094,0.7936025010199655
020_2003,2003,2,4929,2179867.5410881694,1726790.3394938027,0.7921537923500642
020_2004,2004,2,4913,2176280.768438989,1721039.2603650144,0.7908167389630926
020_2005,2005,2,4969,2204490.5495447554,1740372.6778478448,0.7894670622231723
020_2006,2006,2,4971,2204486.1050412813,1740355.3729741727,0.7894608040369493
020_2007,2007,2,5088,2280035.7289974396,1797849.942462753,0.7885183199533853
020_2008,2008,2,5096,2282850.4041849896,1795211.6644398246,0.7863904096163239
020_2009,2009,2,5126,2289099.507485214,1800768.346436759,0.7866710645598226
020_2010,2010,2,5243,2338040.7529108436,1839317.6261581988,0.786691858928576
020_2011,2011,2,5233,2337973.663568156,1838784.8937251312,0.7864865727010905
