080_2016_002855 -                                                                                  (vii)(I) No person |||or entity shall willfully and||| knowingly withhold domestic workers prior to the arrival of H–2A workers in order to force the hiri
070_2016_026901 - test kits to detect biological threats to plants and animals and to provide such test kits to State |||and local agencies preparing for or||| responding to bioterrorism;
490_2016_001506 -                          (B) shall be available for expenditure only to pay the costs of activities |||and services for which the fee is imposed or||| with which the refund or reimbursement is associated; and
080_2016_006487 - be employed by a public international organization of which the United States is a member by treaty |||or statute and||| by which the alien was not employed until after being lawfully admitted for permanent residence; an
330_2016_003127 - ployee refuses to submit to medical or surgical services solely because, in adherence to the tenets |||and practice of a recognized church or||| religious denomination, the employee relies upon prayer or spiritual means alone for healing, such 
300_2016_003758 - intain appropriate records, (B) make monthly reports to the regulatory authority, (C) install, use, |||and maintain any necessary monitoring equipment or||| methods, (D) evaluate results in accordance with such methods, at such locations, intervals, and in
150_2016_009310 - s. Such loading may be taken by the company prior to or after the setting up of the reserve payment |||or payments for such year and||| the reserve payment or payments for such year may be graduated and adjusted to correspond with the 
450_2016_001208 - orrect amount of the contribution required by this section is paid with respect to any compensation |||and the overpayment or||| underpayment of the contribution cannot be adjusted under subsection (d) of this section, the amoun
210_2016_005459 -                                                       (i) The device name, including both the trade |||or proprietary name and||| the common or usual name.
160_2016_020080 - icity consumption efficiency improvement program of the applicant, including its plans, performance |||and capabilities for encouraging or||| assisting its customers to conserve electricity cost-effectively, taking into account the published
200_2016_022026 -             (18) describes how funds will be used to promote preparation for high skill, high wage, |||or high demand occupations and||| non-traditional fields;
100_2016_016078 - ity to Certain Contracts.—This section does not apply to a contract for the acquisition of property |||or services that includes acquisition of advisory and||| assistance services if the head of an agency entering into such contract determines that, under the
100_2016_029731 -                    (c) While he is on active duty, other than active duty for training without pay, |||or performing authorized travel to and||| from that duty, an officer candidate designated under this section is entitled to the pay and allow
260_2016_058097 -                                                  (I) to undo the transaction to the extent possible |||and in any case to make good to the plan or||| affected account any losses resulting from the transaction, and
160_2016_021656 - umbia Basin project such provisions as he deems proper for carrying out the provisions of this Act; |||and in connection with sales or||| exchanges under the Act, he is authorized to effect conveyances without regard to the law governing
250_2016_004374 -                                                                   (ii) an estimate of the financial |||and human cost attributable to such illness or||| behavior.
290_2016_004428 -  with Disabilities Act of 1990 [{ref}] are dealt with in a manner that avoids duplication of effort |||and prevents imposition of inconsistent or||| conflicting standards for the same requirements under this section and the Americans with Disabilit
290_2016_004559 -                                             (3) have the authority to pursue legal, administrative, |||and other appropriate remedies or||| approaches to ensure the protection of, and advocacy for, the rights of such individuals within the
260_2016_031631 -                                                                 (i) tuition, fees, books, supplies, |||and equipment required for the enrollment or||| attendance of a designated beneficiary at an eligible educational institution;
210_2016_013853 -       (4) coca leaves, except coca leaves and extracts of coca leaves from which cocaine, ecgonine, |||and derivatives of ecgonine or||| their salts have been removed; cocaine, its salts, optical and geometric isomers, and salts of isom
330_2016_012757 -                                                       (x) The degree of obviousness of the presence |||or likely presence of oil at the facility and||| on the real property on which the facility is located, and the ability to detect the oil by appropr
050_2016_012753 -  a spouse who is also eligible to enroll, either spouse, but not both, may enroll for self plus one |||or self and||| family. An individual may not be enrolled both as an employee, annuitant, or other individual eligi
380_2016_007020 - ring authorized fees, costs, and expenses incurred in connection with the management, repair, sale, |||or lease of any such properties and||| remit the net balances to the Secretary.
120_2016_002199 -              (3) keeping applicants informed of the status of their applications, including a clear |||and timely notification of approval or||| disapproval, and, in the case of disapproval, the reason for disapproval, as appropriate.
050_2016_010687 -     (i) the difference (for the period between the date on which the annuity of the former employee |||or Member commences and||| the date on which reductions pursuant to the election under this subsection commence) between the a
100_2016_022270 -                                                                 (2) The deputy disbursing official, |||and not the former disbursing official or||| the estate of the former disbursing official, is liable for the actions of the deputy disbursing of
150_2016_041075 - rohibition on the provision of services under {ref}, to the extent that such exemption is necessary |||or appropriate in the public interest and||| is consistent with the protection of investors, and subject to review by the Commission in the same
330_2016_008894 - ship can proceed to sea without presenting an unreasonable threat of harm to the marine environment |||or the public health and||| welfare. The detention order may authorize the ship to proceed to the nearest appropriate available
500_2016_014814 - ll include, among other things, arrangements for counseling small businesses on filing applications |||and identifying goods or||| technology on the control list, proposals for seminars and conferences to educate small businesses 
460_2016_003647 -  has been brought against the master of such a vessel, to enter the appearance of the United States |||or corporation and||| to pledge the credit of the United States or corporation to the payment of any judgment and costs i
150_2016_009707 - s, whether incorporated or unincorporated, which constitutes, maintains, or provides a market place |||or facilities for bringing together purchasers and||| sellers of securities or for otherwise performing with respect to securities the functions commonly
160_2016_016869 -  public agencies, as the Secretary may request to cooperate or assist in carrying out this chapter, |||and for payments to committees or||| associations of producers in any region or regions to cover the estimated administrative expenses t
490_2016_004291 - ilable to the Secretary under this chapter in a checking account in the Treasury. Receipts, assets, |||and amounts obtained or||| held by the Secretary to carry out this chapter are available for administrative expenses to carry 
420_2016_067277 - to elect to directly bill for, and receive payment for, health care services provided by a hospital |||or clinic of such tribes or organizations and||| for which payment may be made under this subchapter, see {ref}.
410_2016_001316 -                                                                               (A) specify its needs |||and solicit bids or||| proposals in a manner designed to achieve full and open competition for the procurement;
050_2016_003431 -                                                       (1) improvements in efficiency, productivity, |||and quality of work or||| service, including any significant reduction in paperwork;
160_2016_002889 - Interior. The Channel Islands National Monument is hereby abolished as such, and the lands, waters, |||and interests therein withdrawn or||| reserved for the monument are hereby incorporated within and made a part of the new Channel Islands
260_2016_020984 -                                      (I) either such spouse has consented in writing to such offset |||and such consent is witnessed by a notary public or||| representative of the plan (or it is established to the satisfaction of a plan representative that 
160_2016_007234 - o the board of selectmen of each of the towns referred to in {ref}; (2) cause a copy of such notice |||and map to be published in one or||| more newspapers which circulate in each of such towns; and (3) cause a certified copy of such notic
100_2016_002509 - nt to subsection (c), the commander of the special operations command established pursuant to {ref} |||and the commander of any other unified or||| specified combatant command may pay, or authorize payment for, any of the following expenses:
420_2016_134937 - h the Secretary may deem to be in the national interest. Such grants shall be made with such advice |||and review by peer or||| other expert groups of appropriate interdisciplinary composition as the Secretary deems appropriate
420_2016_070353 -  makes available information on its policies regarding such service to prospective enrollees before |||or during enrollment and||| to enrollees within 90 days after the date that the organization adopts a change in policy regardin
020_2016_007461 - ent required by this paragraph shall be made in an interest bearing obligation of the United States |||or an obligation guaranteed as to the principal and||| interest by the United States that, as determined by the Commission, has a maturity suitable for th
210_2016_005822 - ion or removal of a device may be required under paragraph (1) if a report of the corrective action |||or removal is required and||| has been submitted under subsection (a).
420_2016_021953 -                                                    (F) improve data sets coordinated across systems |||and other needs identified by a State or||| American Indian consortium plan supported by its advisory council; and
260_2016_008716 - and health benefits were the subject of good faith bargaining between such employee representatives |||and such employer or||| employers; and
420_2016_102531 -                                                           (ii) are not individuals who are officers |||or employees of the Administration for Children and||| Families.
120_2016_008873 - ctions, and acceptance of satisfactory performance bonds, to protect the interests of the Secretary |||and to prevent use of assets or||| income in violation of the regulatory agreement, or such other form of regulatory control as may be
070_2016_037519 -                                     The order shall provide that the Board may enter into contracts |||or agreements for the implementation and||| carrying out of plans or projects of promotion, research, consumer information, or industry informa
260_2016_051184 - all be discharged from personal liability for any deficiency in such tax thereafter found to be due |||and shall be entitled to a receipt or||| writing evidencing such discharge.
260_2016_019105 - ated as a distribution with respect to any shareholder whose proportionate interest in the earnings |||and profits or||| assets of the corporation is increased by such change, difference, redemption, or similar transacti
370_2016_001368 - llowances to which the member is entitled, except that a member may not be paid skill incentive pay |||or a proficiency bonus under this section and||| hazardous duty pay under {ref} for the same period of service in the same career field or skill.
460_2016_004548 - warehouses, and equipment, to devise and suggest the types most appropriate for different locations |||and for the most expeditious and economical transfer or||| interchange of passengers or property between water carriers and rail carriers;
360_2016_003542 -                                                                  (5) acquire, own, lease, encumber, |||and transfer property as necessary or||| convenient to carry out the purposes of the corporation; and
100_2016_029250 -  as a technician in the organizing, administering, instructing, or training of the Selected Reserve |||or in the maintenance and||| repair of supplies or equipment issued to the Selected Reserve or the armed forces.
420_2016_056551 - n shall specify all defects or improprieties in the claim and shall list all additional information |||or documents necessary for the proper processing and||| payment of the claim.
120_2016_024798 - onduct such additional proceedings as it deems appropriate. All such proceedings shall be completed |||and the motion or||| application decided within seven calendar days of the filing of the Government's response.
210_2016_015586 - products under the authority of this chapter, under an agreement entered into between the Secretary |||and the appropriate State or||| other agency.
420_2016_049414 - ry may develop alternative methods of payment for items and services provided under clinical trials |||and comparative effectiveness studies sponsored or||| supported by an agency of the Department of Health and Human Services, as determined by the Secreta
330_2016_010870 -  or transportation expenses under subchapter I of chapter 57 of title 5 while away from their homes |||or regular places of business and||| engaged in the actual performance of duties vested in the Board.
220_2016_027442 - s and other countries must be achieved in a manner that minimizes the risk of nuclear proliferation |||or regional arms races and||| maximizes India's adherence to international nonproliferation regimes, including, in particular, th
310_2016_002356 - buy other outstanding interest-bearing obligations of the Government that are subject to redemption |||or which can be bought at not more than par value and||| accrued interest.
480_2016_000835 -  the Government of American Samoa to carry out the purposes of sections 1494 to 1494c of this title |||and any other Federal or territorial drug or||| other substance abuse laws.
120_2016_002611 - in predatory official export financing through the use of tied aid or partially untied aid credits, |||and impedes negotiations or||| violates agreements on tied aid to eliminate the use of such credits for commercial purposes; or
300_2016_001009 - tle to, or interest in or under such mining claim, which the mining claimant may assert contrary to |||or in conflict with the limitations and||| restrictions specified in {ref} as to hereafter located unpatented mining claims, which place of he
420_2016_097862 -                                 (D) payments for treatment providers that are approved by the State |||or Indian Tribe and||| licensed, if necessary, to provide needed treatment to eligible offenders participating in the prog
310_2016_005192 -           (1) In general.—The Secretary of the Treasury may require domestic financial institutions |||and domestic financial agencies to take 1 or||| more of the special measures described in subsection (b) if the Secretary finds that reasonable gro
200_2016_028461 - tain a regular high school diploma once their term at the correctional facility has been completed, |||or provide such children and||| youth with the skills necessary to gain employment or seek a regular high school diploma or its rec
070_2016_040268 - the several States of the United States, the District of Columbia, the Commonwealth of Puerto Rico, |||and any other territory or||| possession of the United States.
360_2016_002393 -                                                                  (5) acquire, own, lease, encumber, |||and transfer property as necessary or||| convenient to carry out the purposes of the corporation;
210_2016_010394 - ntical with, a requirement under this chapter, the Poison Prevention Packaging Act of 1970 ({ref}), |||or the Fair Packaging and||| Labeling Act ({ref}).
420_2016_021243 -                                                                             (1) to enhance, improve |||or expand the ability of State and||| local public health agencies to provide screening, counseling, or health care services to newborns 
120_2016_011110 - ng from such total amount any amount received on account of the mortgage after either of such dates |||and any amount received as rent or||| other income from the property, less reasonable expenses incurred in handling the property, after e
160_2016_001892 - of August 25, 1916, entitled "An Act to establish a National Park Service, and for other purposes," |||and Acts supplementary thereto or||| amendatory thereof.
040_2016_000067 -  use, with respect to which such tax is levied, occurred in whole or in part within a Federal area; |||and such State or||| taxing authority shall have full jurisdiction and power to levy and collect any such tax in any Fed
070_2016_035823 -  in the manner prescribed by the Secretary, the quantities of the products imported by the importer |||and the sugar content or||| equivalent of the products.
420_2016_146965 -                           (i) To provide a lower cost residential alternative to institutional care |||and to prevent or||| delay the need for institutional care.
160_2016_013872 -                   (2) that such plan adequately identifies the risks the operations under such plan |||or such stages might pose to and||| the benefits the operations under such plan might provide to—
150_2016_014551 -                                                                (A) any proposal to provide outreach |||and assistance to one or||| more small business concerns interested in participating in the SBIR program, including any proposa
420_2016_073871 -  any one time pursuant to loan agreements then outstanding with public housing agencies. Such notes |||or other obligations shall be in such forms and||| denominations and shall be subject to such terms and conditions as may be prescribed by the Secreta
180_2016_005917 -                                        shall be punished by imprisonment for not less than 30 years |||or for life and||| by a fine under this title, if any of the circumstances described in subsection (c) of this section
