420_2019_158121 -                                   (ii) has partnered with a sponsor of a pre-apprenticeship program |||or apprenticeship program or||| is a sponsor of a pre-apprenticeship program or apprenticeship program; and
490_2019_010736 -                                 (ii) customer satisfaction campaigns, consumer advisories, recalls, |||or other activity involving the repair or||| replacement of motor vehicles or items of motor vehicle equipment.
490_2019_014032 - , or authority of a State or political subdivision that is not the eligible agency may not regulate |||or prohibit the imposition or||| collection of a passenger facility charge or the use of the passenger facility revenue.
420_2019_078455 -                               The plan shall be established in consultation with the police officer |||or officers in command for the appropriate precinct or||| police department.
220_2019_017155 -  the System dies before retirement or other separation from the Service and is survived by a spouse |||or a former spouse who is the natural or||| adoptive parent of a surviving child of the annuitant, and a child or children, each surviving chil
500_2019_015014 - ings, increment, or proceeds thereof shall not render inapplicable any Federal, State, Territorial, |||or local tax for any period prior or||| subsequent to the date of such vesting or transfer, nor render applicable the exemptions provided i
260_2019_030256 -                                                                         (J) In the case of a mutual |||or cooperative telephone or||| electric company described in this paragraph, subparagraph (A) shall be applied without taking into
160_2019_015730 -                                             The Secretary may accept contributions from the Pueblo, |||or from other persons or||| governmental entities—
180_2019_000439 - r as an agent or officer of any person or corporation, in contemplation of a case under title 11 by |||or against the person or any other person or||| corporation, or with intent to defeat the provisions of title 11, knowingly and fraudulently transf
420_2019_036743 - oat's (or the boats' in the case of a fishing operation involving more than one boat) catch of fish |||or other forms of aquatic animal life or||| a share of the proceeds from the sale of such catch, and
120_2019_012746 - sured in accordance with this subchapter in the Commonwealth of Puerto Rico, the Panama Canal Zone, |||or any such territory or||| possession, respectively; or
060_2019_000864 -                                                                              Any oath, affirmation, |||or affidavit administered or||| taken under paragraph (1)(D) by or before an employee of the Privacy Office designated for that pur
070_2019_028841 - ll suspend or terminate such order within six months after the Secretary determines that suspension |||or termination of the order is approved or||| favored by a majority of the end product manufacturers voting in such referendum who, during a repr
070_2019_000342 - collar, or similar option of any kind that is for the purchase or sale, or based on the value, of 1 |||or more interest or||| other rates, currencies, commodities, securities, instruments of indebtedness, indices, quantitativ
380_2019_009482 - escribe, release the name or address, or both, of any present or former member of the Armed Forces, |||or a dependent of a present or||| former member of the Armed Forces, (1) to any nonprofit organization if the release is directly con
150_2019_022212 -                                                                                        (1) any case |||or proceeding before any court or||| grand jury arising out of such investigation, or any proceeding before any Federal administrative o
180_2019_000773 - e particular matter involved is that resulting solely from the interest of the officer or employee, |||or his or her spouse or||| minor child, in birthrights—
210_2019_000992 -  the requirements of such clause, by registering biannually the name and address of such restaurant |||or similar retail food establishment or||| vending machine operator with the Secretary, as specified by the Secretary by regulation.
070_2019_006921 - a subpoena issued to any person, issue an order requiring the person to appear before the Secretary |||or his examiner or||| to produce accounts, records, and memoranda if so ordered, or to give evidence touching any matter 
160_2019_020353 -  and from moneys authorized to be appropriated for the purposes of this subchapter (A) the purchase |||or rental price of any such area or||| interest therein, and (B) the expenses incident to the location, examination, survey, and acquisiti
420_2019_136410 - stitute are normally kept. All books, accounts, financial records, reports, files, and other papers |||or property belonging to or||| in use by the Institute and necessary to facilitate the audits shall be made available to the perso
290_2019_006876 -                                            (6) an agreement providing payments to a retired partner |||or deceased partner or||| a deceased partner's successor in interest as described in {ref};
200_2019_012422 -                                                                                    (I) any building |||or property owned or||| controlled by a student organization recognized by the institution; and
430_2019_001769 - elinquish the same, provided that it has since been determined that the land embraced in such entry |||or all thereof in excess of twenty acres is not or||| will not be irrigable under the project, and in lieu thereof may select and make entry for any farm
420_2019_063675 - t an employee of the intermediary, carrier, or contractor and does not provide services exclusively |||or primarily to or||| on behalf of such intermediary, carrier, or contractor;
220_2019_023721 - ization, including any member of an inspection team of the Technical Secretariat, taken pursuant to |||or under color of the Convention or||| this chapter.
420_2019_065184 -  a Medicare+Choice plan or any such policy or plan of one or more employers or labor organizations, |||or of the trustees of a fund established by one or||| more employers or labor organizations (or combination thereof), for employees or former employees (
420_2019_020001 - s in a community-based setting that specializes in the treatment of infants, children, adolescents, |||or pregnant or||| postpartum women; and
070_2019_046547 - al cropland acreage of the farm, the Secretary shall reduce the base acres for peanuts for the farm |||or the base acres for 1 or||| more covered commodities for the farm so that the sum of the base acres for peanuts and acreage des
420_2019_082751 - d accordingly: And provided further, That where through mistake of fact, absence of proof of death, |||or error through lack of adequate information or||| otherwise, payments as for detention have in any case been erroneously made or credited, any result
100_2019_000768 -                                              (i) the date that is specified by a foreign government |||or international organization in a request or||| expression of a condition described in paragraph (1) or (2) of subsection (b) that is made by the f
070_2019_044257 -                                                                            (B) a land-grant college |||or university or||| other institution of higher education;
420_2019_121265 - e regulations prescribed under subsection (c), (h), (i), (k), (l), (m), (n), or (o) of this section |||or who fails to furnish any information or||| conduct any tests required by the Administrator under subsection (b) of this section shall be liabl
230_2019_001123 -                           (E) Toll facility.—The term "toll facility" means a toll highway, bridge, |||or tunnel or||| approach to the highway, bridge, or tunnel constructed under this subsection.
070_2019_011665 - r appraised average yield indemnified at not greater than 100 percent of the expected market price, |||or a comparable coverage for a policy or||| plan of insurance that is not based on individual yield, the amount shall be equal to the sum of—
