,root,year,nodes,ref_edges,seqitems,titles,tokens_n
33020,010_2000_000003,2000,1,0,1,1,152
38005,010_2000_000015,2000,1,0,1,1,20
13463,010_2000_000016,2000,1,0,1,1,25
19675,010_2000_000026,2000,1,0,1,1,37
8220,010_2000_000029,2000,1,0,1,1,83
17976,010_2000_000035,2000,2,1,2,1,297
18947,010_2000_000075,2000,1,0,1,1,81
10173,010_2000_000076,2000,2,1,2,1,238
37423,010_2000_000077,2000,1,0,1,1,120
37080,020_2000_000004,2000,1,0,1,1,38
4247,020_2000_000005,2000,2,1,2,1,58
26059,020_2000_000006,2000,1,0,1,1,0
33505,020_2000_000007,2000,1,0,1,1,491
34835,020_2000_000011,2000,2,1,2,1,558
36755,020_2000_000012,2000,2,1,2,1,209
3632,020_2000_000014,2000,1,0,1,1,33
4935,020_2000_000015,2000,2,1,2,1,89
16009,020_2000_000016,2000,1,0,1,1,49
5530,020_2000_000035,2000,1,0,1,1,126
36191,020_2000_000047,2000,1,0,1,1,104
5648,020_2000_000083,2000,4,5,4,2,985
28307,020_2000_000086,2000,1,0,1,1,540
4927,020_2000_000138,2000,6,5,6,2,1640
12065,020_2000_000139,2000,6,5,6,2,1539
21748,020_2000_000143,2000,2,1,2,2,162
30900,020_2000_000193,2000,4,5,4,2,511
29038,020_2000_000194,2000,3,2,3,3,640
19174,020_2000_000198,2000,2,1,2,2,201
33016,020_2000_000212,2000,2,1,2,1,219
23138,020_2000_000213,2000,1,0,1,1,25
5600,020_2000_000214,2000,2,1,2,1,40
15595,020_2000_000219,2000,1,0,1,1,139
11452,020_2000_000242,2000,2,1,2,1,653
5718,020_2000_000243,2000,2,1,2,1,655
23182,020_2000_000285,2000,1,0,1,1,44
24088,020_2000_000287,2000,2,1,2,1,116
6246,020_2000_000292,2000,2,1,2,2,201
10019,020_2000_000298,2000,2,1,2,2,418
16524,020_2000_000302,2000,1,0,1,1,181
38325,020_2000_000311,2000,1,0,1,1,152
36352,020_2000_000453,2000,2,1,2,2,373
35935,020_2000_000498,2000,2,1,2,2,65
11767,020_2000_000500,2000,2,1,2,2,113
3863,020_2000_000507,2000,2,1,2,2,131
16959,020_2000_000512,2000,2,1,2,2,133
37881,020_2000_000519,2000,2,1,2,2,83
7735,020_2000_000520,2000,2,1,2,2,87
28622,020_2000_000526,2000,2,1,2,2,63
20628,020_2000_000545,2000,6,5,6,2,1810
30676,020_2000_000551,2000,8,8,8,2,2460
22438,020_2000_000552,2000,6,5,6,2,1564
2264,020_2000_000556,2000,6,5,6,2,1598
1767,020_2000_000559,2000,6,5,6,2,1791
29683,020_2000_000568,2000,8,8,8,2,2415
14594,020_2000_000574,2000,4,3,4,2,878
14569,020_2000_000578,2000,6,5,6,2,1508
24706,020_2000_000584,2000,2,1,2,1,43
21593,020_2000_000704,2000,1,0,1,1,494
37399,020_2000_000721,2000,6,6,6,3,1606
21178,020_2000_000722,2000,5,5,5,3,1528
21332,020_2000_000724,2000,5,5,5,3,1471
7093,020_2000_000728,2000,3,2,3,2,98
28647,020_2000_000732,2000,3,2,3,2,88
10830,020_2000_000793,2000,5,5,5,3,1543
3861,020_2000_000841,2000,2,1,2,1,62
32121,020_2000_000894,2000,2,1,2,2,299
21024,020_2000_000919,2000,2,1,2,2,269
1736,020_2000_000942,2000,2,1,2,2,192
37163,020_2000_000945,2000,1,0,1,1,53
24848,020_2000_000947,2000,2,1,2,1,263
11481,020_2000_000969,2000,1,0,1,1,83
15143,020_2000_001007,2000,19,33,19,3,4678
25044,020_2000_001012,2000,3,2,3,2,831
2000,020_2000_001050,2000,2,1,2,2,270
3150,020_2000_001108,2000,8,8,8,2,2441
19238,020_2000_001144,2000,1,0,1,1,32
8153,020_2000_001146,2000,1,0,1,1,109
26413,020_2000_001150,2000,2,1,2,1,163
30245,020_2000_001158,2000,1,0,1,1,199
10663,020_2000_001163,2000,2,1,2,1,262
28194,020_2000_001186,2000,1,0,1,1,47
28271,020_2000_001265,2000,1,0,1,1,91
18130,020_2000_001266,2000,2,1,2,1,172
17601,020_2000_001268,2000,3,2,3,1,226
30928,020_2000_001269,2000,4,3,4,1,271
33854,020_2000_001272,2000,3,2,3,1,235
35922,020_2000_001273,2000,3,2,3,1,198
21911,020_2000_001285,2000,1,0,1,1,158
32919,020_2000_001295,2000,3,2,3,2,835
31735,020_2000_001302,2000,5,4,5,4,1546
22546,020_2000_001306,2000,2,1,2,1,186
34114,020_2000_001310,2000,1,0,1,1,150
8320,020_2000_001312,2000,1,0,1,1,714
22288,020_2000_001333,2000,2,1,2,2,77
9874,020_2000_001342,2000,3,2,3,2,782
31971,020_2000_001345,2000,1,0,1,1,98
23766,020_2000_001351,2000,1,0,1,1,30
25260,020_2000_001353,2000,1,0,1,1,235
5983,020_2000_001354,2000,1,0,1,1,46
33124,020_2000_001422,2000,1,0,1,1,169
27716,020_2000_001423,2000,2,1,2,1,182
23668,020_2000_001428,2000,1,0,1,1,0
35111,020_2000_001453,2000,2,1,2,2,78
31362,020_2000_001462,2000,2,1,2,1,31
18707,020_2000_001477,2000,2,1,2,2,64
25180,020_2000_001488,2000,2,1,2,2,57
27857,020_2000_001622,2000,2,1,2,2,286
29709,020_2000_001704,2000,2,1,2,2,421
9343,020_2000_001709,2000,3,2,3,2,548
30361,020_2000_001715,2000,8,8,8,2,2003
24419,020_2000_001716,2000,8,8,8,2,2433
28620,020_2000_001718,2000,33,46,32,7,7902
35900,020_2000_001725,2000,2,1,2,1,745
19936,020_2000_001726,2000,2,1,2,2,315
10613,020_2000_001727,2000,1,0,1,1,0
2188,020_2000_001728,2000,2,1,2,1,66
9860,020_2000_001729,2000,4,3,4,2,1868
17571,020_2000_001731,2000,5,4,5,2,2002
3594,020_2000_001733,2000,27,41,26,5,6609
20528,020_2000_001734,2000,4,3,4,2,1883
14743,020_2000_001736,2000,1,0,1,1,488
27178,020_2000_001740,2000,26,39,25,5,6390
29618,020_2000_001742,2000,30,43,29,5,8464
2111,020_2000_001751,2000,30,43,29,5,8428
22408,020_2000_001752,2000,3,4,3,2,568
13286,020_2000_001755,2000,26,39,25,5,6448
36946,020_2000_001756,2000,4,3,4,2,1884
34798,020_2000_001759,2000,2,1,2,2,201
37071,020_2000_001769,2000,1,0,1,1,58
19569,020_2000_001770,2000,2,1,2,1,165
6816,020_2000_001774,2000,1,0,1,1,47
28323,020_2000_001775,2000,1,0,1,1,193
9052,020_2000_001778,2000,3,2,3,1,412
