text,counts,file
Tuesday,3,020_1994.xml
Monday,6,020_1994.xml
Saturday,5,020_1994.xml
Sunday,6,020_1994.xml
Friday,1,020_1994.xml
Saturdays,11,020_1994.xml
Sundays,11,020_1994.xml
Tuesday,3,020_1995.xml
Monday,6,020_1995.xml
Saturday,5,020_1995.xml
Sunday,6,020_1995.xml
Friday,1,020_1995.xml
Saturdays,11,020_1995.xml
Sundays,11,020_1995.xml
Tuesday,3,020_1996.xml
Monday,6,020_1996.xml
Saturday,5,020_1996.xml
Sunday,6,020_1996.xml
Friday,1,020_1996.xml
Saturdays,12,020_1996.xml
Sundays,16,020_1996.xml
Tuesday,3,020_1997.xml
Monday,6,020_1997.xml
Saturday,5,020_1997.xml
Sunday,6,020_1997.xml
Friday,1,020_1997.xml
Saturdays,10,020_1997.xml
Sundays,14,020_1997.xml
Tuesday,3,020_1998.xml
Monday,6,020_1998.xml
Saturday,5,020_1998.xml
Sunday,6,020_1998.xml
Friday,1,020_1998.xml
Saturdays,10,020_1998.xml
Sundays,14,020_1998.xml
Tuesday,3,020_1999.xml
Monday,6,020_1999.xml
Saturday,5,020_1999.xml
Sunday,6,020_1999.xml
Friday,1,020_1999.xml
Saturdays,10,020_1999.xml
Sundays,14,020_1999.xml
Tuesday,3,020_2000.xml
Monday,6,020_2000.xml
Saturday,5,020_2000.xml
Sunday,6,020_2000.xml
Friday,1,020_2000.xml
Saturdays,10,020_2000.xml
Sundays,14,020_2000.xml
Tuesday,3,020_2001.xml
Monday,6,020_2001.xml
Saturday,5,020_2001.xml
Sunday,5,020_2001.xml
Friday,1,020_2001.xml
Saturdays,10,020_2001.xml
Sundays,14,020_2001.xml
Tuesday,3,020_2002.xml
Monday,6,020_2002.xml
Saturday,5,020_2002.xml
Sunday,5,020_2002.xml
Friday,1,020_2002.xml
Saturdays,10,020_2002.xml
Sundays,14,020_2002.xml
Tuesday,3,020_2003.xml
Monday,6,020_2003.xml
Saturday,5,020_2003.xml
Sunday,5,020_2003.xml
Friday,1,020_2003.xml
Saturdays,10,020_2003.xml
Sundays,14,020_2003.xml
Tuesday,3,020_2004.xml
Monday,6,020_2004.xml
Saturday,5,020_2004.xml
Sunday,5,020_2004.xml
Friday,1,020_2004.xml
Saturdays,9,020_2004.xml
Sundays,9,020_2004.xml
Tuesday,3,020_2005.xml
Monday,6,020_2005.xml
Saturday,5,020_2005.xml
Sunday,5,020_2005.xml
Friday,1,020_2005.xml
Saturdays,9,020_2005.xml
Sundays,9,020_2005.xml
Tuesday,3,020_2006.xml
Monday,6,020_2006.xml
Saturday,5,020_2006.xml
Sunday,5,020_2006.xml
Friday,1,020_2006.xml
Saturdays,9,020_2006.xml
Sundays,9,020_2006.xml
Tuesday,3,020_2007.xml
Monday,6,020_2007.xml
Saturday,5,020_2007.xml
Sunday,5,020_2007.xml
Friday,1,020_2007.xml
Saturdays,9,020_2007.xml
Sundays,9,020_2007.xml
Tuesday,3,020_2008.xml
Monday,6,020_2008.xml
Saturday,5,020_2008.xml
Sunday,5,020_2008.xml
Friday,1,020_2008.xml
Saturdays,9,020_2008.xml
Sundays,9,020_2008.xml
Tuesday,3,020_2009.xml
Monday,6,020_2009.xml
Saturday,5,020_2009.xml
Sunday,5,020_2009.xml
Friday,1,020_2009.xml
Saturdays,9,020_2009.xml
Sundays,9,020_2009.xml
Tuesday,3,020_2010.xml
Monday,6,020_2010.xml
Saturday,5,020_2010.xml
Sunday,5,020_2010.xml
Friday,1,020_2010.xml
Saturdays,9,020_2010.xml
Sundays,9,020_2010.xml
Tuesday,3,020_2011.xml
Monday,6,020_2011.xml
Saturday,5,020_2011.xml
Sunday,5,020_2011.xml
Friday,1,020_2011.xml
Saturdays,9,020_2011.xml
Sundays,9,020_2011.xml
Tuesday,3,020_2012.xml
Monday,6,020_2012.xml
Saturday,5,020_2012.xml
Sunday,5,020_2012.xml
Friday,1,020_2012.xml
Saturdays,9,020_2012.xml
Sundays,9,020_2012.xml
Tuesday,3,020_2013.xml
Monday,6,020_2013.xml
Friday,1,020_2013.xml
Saturday,5,020_2013.xml
Sunday,5,020_2013.xml
Saturdays,9,020_2013.xml
Sundays,9,020_2013.xml
Tuesday,3,020_2014.xml
Monday,6,020_2014.xml
Friday,1,020_2014.xml
Saturday,5,020_2014.xml
Sunday,5,020_2014.xml
Saturdays,9,020_2014.xml
Sundays,9,020_2014.xml
Tuesday,3,020_2015.xml
Monday,6,020_2015.xml
Friday,1,020_2015.xml
Saturday,5,020_2015.xml
Sunday,5,020_2015.xml
Saturdays,9,020_2015.xml
Sundays,9,020_2015.xml
Tuesday,3,020_2016.xml
Monday,6,020_2016.xml
Friday,1,020_2016.xml
Saturday,5,020_2016.xml
Sunday,5,020_2016.xml
Saturdays,9,020_2016.xml
Sundays,9,020_2016.xml
Tuesday,3,020_2017.xml
Monday,6,020_2017.xml
Friday,1,020_2017.xml
Saturday,5,020_2017.xml
Sunday,5,020_2017.xml
Saturdays,9,020_2017.xml
Sundays,9,020_2017.xml
Tuesday,3,020_2018.xml
Monday,6,020_2018.xml
Friday,1,020_2018.xml
Saturday,5,020_2018.xml
Sunday,5,020_2018.xml
Saturdays,9,020_2018.xml
Sundays,9,020_2018.xml
Tuesday,3,020_2019.xml
Monday,6,020_2019.xml
Friday,1,020_2019.xml
Saturday,5,020_2019.xml
Sunday,5,020_2019.xml
Saturdays,9,020_2019.xml
Sundays,9,020_2019.xml
Tuesday,1,030_1994.xml
Monday,2,030_1994.xml
Wednesday,3,030_1994.xml
Sunday,1,030_1994.xml
Tuesday,1,030_1995.xml
Monday,2,030_1995.xml
Wednesday,3,030_1995.xml
Sunday,1,030_1995.xml
Tuesday,1,030_1996.xml
Monday,2,030_1996.xml
Wednesday,3,030_1996.xml
Sunday,1,030_1996.xml
Saturdays,1,030_1996.xml
Sundays,1,030_1996.xml
Tuesday,1,030_1997.xml
Monday,2,030_1997.xml
Wednesday,3,030_1997.xml
Sunday,1,030_1997.xml
Saturdays,1,030_1997.xml
Sundays,1,030_1997.xml
Tuesday,1,030_1998.xml
Monday,2,030_1998.xml
Wednesday,3,030_1998.xml
Sunday,1,030_1998.xml
Saturdays,1,030_1998.xml
Sundays,1,030_1998.xml
Tuesday,1,030_1999.xml
Monday,2,030_1999.xml
Wednesday,3,030_1999.xml
Sunday,1,030_1999.xml
Saturdays,1,030_1999.xml
Sundays,1,030_1999.xml
Tuesday,1,030_2000.xml
Monday,2,030_2000.xml
Wednesday,3,030_2000.xml
Sunday,1,030_2000.xml
Saturdays,1,030_2000.xml
Sundays,1,030_2000.xml
Tuesday,1,030_2001.xml
Monday,2,030_2001.xml
Wednesday,3,030_2001.xml
Sunday,1,030_2001.xml
Saturdays,1,030_2001.xml
Sundays,1,030_2001.xml
Tuesday,1,030_2002.xml
Monday,2,030_2002.xml
Wednesday,3,030_2002.xml
Sunday,1,030_2002.xml
Saturdays,1,030_2002.xml
Sundays,1,030_2002.xml
Tuesday,1,030_2003.xml
Monday,2,030_2003.xml
Wednesday,3,030_2003.xml
Sunday,1,030_2003.xml
Saturdays,1,030_2003.xml
Sundays,1,030_2003.xml
Tuesday,1,030_2004.xml
Monday,2,030_2004.xml
Wednesday,3,030_2004.xml
Sunday,1,030_2004.xml
Saturdays,1,030_2004.xml
Sundays,1,030_2004.xml
Tuesday,1,030_2005.xml
Monday,2,030_2005.xml
Wednesday,3,030_2005.xml
Sunday,1,030_2005.xml
Saturdays,1,030_2005.xml
Sundays,1,030_2005.xml
Tuesday,1,030_2006.xml
Monday,2,030_2006.xml
Wednesday,3,030_2006.xml
Sunday,1,030_2006.xml
Saturdays,1,030_2006.xml
Sundays,1,030_2006.xml
Tuesday,1,030_2007.xml
Monday,2,030_2007.xml
Wednesday,3,030_2007.xml
Sunday,1,030_2007.xml
Saturdays,1,030_2007.xml
Sundays,1,030_2007.xml
Tuesday,1,030_2008.xml
Monday,2,030_2008.xml
Wednesday,3,030_2008.xml
Sunday,1,030_2008.xml
Saturdays,1,030_2008.xml
Sundays,1,030_2008.xml
Tuesday,1,030_2009.xml
Monday,2,030_2009.xml
Wednesday,3,030_2009.xml
Sunday,1,030_2009.xml
Saturdays,1,030_2009.xml
Sundays,1,030_2009.xml
Tuesday,1,030_2010.xml
Monday,2,030_2010.xml
Wednesday,3,030_2010.xml
Sunday,1,030_2010.xml
Saturdays,1,030_2010.xml
Sundays,1,030_2010.xml
Tuesday,1,030_2011.xml
Monday,2,030_2011.xml
Wednesday,3,030_2011.xml
Sunday,1,030_2011.xml
Saturdays,1,030_2011.xml
Sundays,1,030_2011.xml
Tuesday,1,030_2012.xml
Monday,2,030_2012.xml
Wednesday,3,030_2012.xml
Sunday,1,030_2012.xml
Saturdays,1,030_2012.xml
Sundays,1,030_2012.xml
Tuesday,1,030_2013.xml
Monday,2,030_2013.xml
Wednesday,3,030_2013.xml
Sunday,1,030_2013.xml
Saturdays,1,030_2013.xml
Sundays,1,030_2013.xml
Tuesday,1,030_2014.xml
Monday,2,030_2014.xml
Wednesday,3,030_2014.xml
Sunday,1,030_2014.xml
Saturdays,1,030_2014.xml
Sundays,1,030_2014.xml
Tuesday,1,030_2015.xml
Monday,2,030_2015.xml
Wednesday,3,030_2015.xml
Sunday,1,030_2015.xml
Saturdays,1,030_2015.xml
Sundays,1,030_2015.xml
Tuesday,1,030_2016.xml
Monday,2,030_2016.xml
Wednesday,3,030_2016.xml
Sunday,1,030_2016.xml
Saturdays,1,030_2016.xml
Sundays,1,030_2016.xml
Tuesday,1,030_2017.xml
Monday,2,030_2017.xml
Wednesday,3,030_2017.xml
Sunday,1,030_2017.xml
Saturdays,1,030_2017.xml
Sundays,1,030_2017.xml
Tuesday,1,030_2018.xml
Monday,2,030_2018.xml
Wednesday,3,030_2018.xml
Sunday,1,030_2018.xml
Saturdays,1,030_2018.xml
Sundays,1,030_2018.xml
Tuesday,1,030_2019.xml
Monday,2,030_2019.xml
Wednesday,3,030_2019.xml
Sunday,1,030_2019.xml
Saturdays,1,030_2019.xml
Sundays,1,030_2019.xml
Monday,4,040_1998.xml
Sunday,2,040_1998.xml
Saturday,1,040_1998.xml
Thursday,1,040_1998.xml
Monday,5,040_1999.xml
Sunday,2,040_1999.xml
Saturday,1,040_1999.xml
Thursday,1,040_1999.xml
Monday,5,040_2000.xml
Sunday,2,040_2000.xml
Saturday,1,040_2000.xml
Thursday,1,040_2000.xml
Monday,5,040_2001.xml
Sunday,2,040_2001.xml
Saturday,1,040_2001.xml
Thursday,1,040_2001.xml
Monday,5,040_2002.xml
Sunday,2,040_2002.xml
Saturday,1,040_2002.xml
Thursday,1,040_2002.xml
Monday,5,040_2003.xml
Sunday,2,040_2003.xml
Saturday,1,040_2003.xml
Thursday,1,040_2003.xml
Monday,5,040_2004.xml
Sunday,2,040_2004.xml
Saturday,1,040_2004.xml
Thursday,1,040_2004.xml
Monday,5,040_2005.xml
Sunday,2,040_2005.xml
Saturday,1,040_2005.xml
Thursday,1,040_2005.xml
Monday,5,040_2006.xml
Sunday,2,040_2006.xml
Saturday,1,040_2006.xml
Thursday,1,040_2006.xml
Monday,5,040_2007.xml
Sunday,2,040_2007.xml
Saturday,1,040_2007.xml
Thursday,1,040_2007.xml
Monday,5,040_2008.xml
Sunday,3,040_2008.xml
Saturday,1,040_2008.xml
Thursday,1,040_2008.xml
Monday,5,040_2009.xml
Sunday,3,040_2009.xml
Saturday,1,040_2009.xml
Thursday,1,040_2009.xml
Monday,5,040_2010.xml
Sunday,3,040_2010.xml
Saturday,1,040_2010.xml
Thursday,1,040_2010.xml
Monday,5,040_2011.xml
Sunday,3,040_2011.xml
Saturday,1,040_2011.xml
Thursday,1,040_2011.xml
Monday,5,040_2012.xml
Sunday,3,040_2012.xml
Saturday,1,040_2012.xml
Thursday,1,040_2012.xml
Monday,5,040_2013.xml
Sunday,3,040_2013.xml
Saturday,1,040_2013.xml
Thursday,1,040_2013.xml
Monday,5,040_2014.xml
Sunday,3,040_2014.xml
Saturday,1,040_2014.xml
Thursday,1,040_2014.xml
Monday,5,040_2015.xml
Sunday,3,040_2015.xml
Saturday,1,040_2015.xml
Thursday,1,040_2015.xml
Monday,5,040_2016.xml
Sunday,3,040_2016.xml
Saturday,1,040_2016.xml
Thursday,1,040_2016.xml
Monday,5,040_2017.xml
Sunday,3,040_2017.xml
