text,counts,file
(a),5,010_1994.xml
(b),5,010_1994.xml
(1),1,010_1994.xml
(2),1,010_1994.xml
(A),1,010_1994.xml
(B),1,010_1994.xml
(C),1,010_1994.xml
(D),1,010_1994.xml
(3),1,010_1994.xml
(c),5,010_1994.xml
(d),2,010_1994.xml
(e),2,010_1994.xml
(a),5,010_1995.xml
(b),5,010_1995.xml
(1),1,010_1995.xml
(2),1,010_1995.xml
(A),1,010_1995.xml
(B),1,010_1995.xml
(C),1,010_1995.xml
(D),1,010_1995.xml
(3),1,010_1995.xml
(c),5,010_1995.xml
(d),2,010_1995.xml
(e),2,010_1995.xml
(a),5,010_1996.xml
(b),5,010_1996.xml
(1),1,010_1996.xml
(2),1,010_1996.xml
(A),1,010_1996.xml
(B),1,010_1996.xml
(C),1,010_1996.xml
(D),1,010_1996.xml
(3),1,010_1996.xml
(c),5,010_1996.xml
(d),2,010_1996.xml
(e),2,010_1996.xml
(a),5,010_1997.xml
(b),5,010_1997.xml
(1),1,010_1997.xml
(2),1,010_1997.xml
(A),1,010_1997.xml
(B),1,010_1997.xml
(C),1,010_1997.xml
(D),1,010_1997.xml
(3),1,010_1997.xml
(c),5,010_1997.xml
(d),2,010_1997.xml
(e),2,010_1997.xml
(a),5,010_1998.xml
(b),5,010_1998.xml
(1),1,010_1998.xml
(2),1,010_1998.xml
(A),1,010_1998.xml
(B),1,010_1998.xml
(C),1,010_1998.xml
(D),1,010_1998.xml
(3),1,010_1998.xml
(c),5,010_1998.xml
(d),2,010_1998.xml
(e),2,010_1998.xml
(a),5,010_1999.xml
(b),5,010_1999.xml
(1),1,010_1999.xml
(2),1,010_1999.xml
(A),1,010_1999.xml
(B),1,010_1999.xml
(C),1,010_1999.xml
(D),1,010_1999.xml
(3),1,010_1999.xml
(c),5,010_1999.xml
(d),2,010_1999.xml
(e),2,010_1999.xml
(a),5,010_2000.xml
(b),5,010_2000.xml
(1),1,010_2000.xml
(2),1,010_2000.xml
(A),1,010_2000.xml
(B),1,010_2000.xml
(C),1,010_2000.xml
(D),1,010_2000.xml
(3),1,010_2000.xml
(c),5,010_2000.xml
(d),2,010_2000.xml
(e),2,010_2000.xml
(a),5,010_2001.xml
(b),5,010_2001.xml
(1),1,010_2001.xml
(2),1,010_2001.xml
(A),1,010_2001.xml
(B),1,010_2001.xml
(C),1,010_2001.xml
(D),1,010_2001.xml
(3),1,010_2001.xml
(c),5,010_2001.xml
(d),2,010_2001.xml
(e),2,010_2001.xml
(a),6,010_2002.xml
(b),6,010_2002.xml
(c),6,010_2002.xml
(1),1,010_2002.xml
(2),1,010_2002.xml
(A),1,010_2002.xml
(B),1,010_2002.xml
(C),1,010_2002.xml
(D),1,010_2002.xml
(3),1,010_2002.xml
(d),2,010_2002.xml
(e),2,010_2002.xml
(a),6,010_2003.xml
(b),6,010_2003.xml
(c),6,010_2003.xml
(1),1,010_2003.xml
(2),1,010_2003.xml
(A),1,010_2003.xml
(B),1,010_2003.xml
(C),1,010_2003.xml
(D),1,010_2003.xml
(3),1,010_2003.xml
(d),2,010_2003.xml
(e),2,010_2003.xml
(a),6,010_2004.xml
(b),6,010_2004.xml
(c),6,010_2004.xml
(1),1,010_2004.xml
(2),2,010_2004.xml
(A),2,010_2004.xml
(B),3,010_2004.xml
(C),1,010_2004.xml
(D),1,010_2004.xml
(3),1,010_2004.xml
(d),2,010_2004.xml
(d)(1),1,010_2004.xml
(e)(1),1,010_2004.xml
(2)(A),1,010_2004.xml
(i),1,010_2004.xml
(ii),1,010_2004.xml
(f),1,010_2004.xml
(e),1,010_2004.xml
(a),6,010_2005.xml
(b),6,010_2005.xml
(c),6,010_2005.xml
(1),1,010_2005.xml
(2),2,010_2005.xml
(A),2,010_2005.xml
(B),3,010_2005.xml
(C),1,010_2005.xml
(D),1,010_2005.xml
(3),1,010_2005.xml
(d),2,010_2005.xml
(d)(1),1,010_2005.xml
(e)(1),1,010_2005.xml
(2)(A),1,010_2005.xml
(i),1,010_2005.xml
(ii),1,010_2005.xml
(f),1,010_2005.xml
(e),1,010_2005.xml
(a),6,010_2006.xml
(b),6,010_2006.xml
(c),6,010_2006.xml
(1),1,010_2006.xml
(2),2,010_2006.xml
(A),2,010_2006.xml
(B),3,010_2006.xml
(C),1,010_2006.xml
(D),1,010_2006.xml
(3),1,010_2006.xml
