text,counts,file
January,3,020_1994.xml
November,5,020_1994.xml
December,7,020_1994.xml
October,2,020_1994.xml
August,1,020_1994.xml
September,1,020_1994.xml
July,3,020_1994.xml
January,4,020_1995.xml
November,5,020_1995.xml
December,7,020_1995.xml
October,2,020_1995.xml
August,1,020_1995.xml
September,1,020_1995.xml
July,4,020_1995.xml
January,4,020_1996.xml
November,5,020_1996.xml
December,7,020_1996.xml
October,2,020_1996.xml
August,1,020_1996.xml
September,1,020_1996.xml
July,4,020_1996.xml
January,4,020_1997.xml
November,5,020_1997.xml
December,7,020_1997.xml
October,2,020_1997.xml
August,1,020_1997.xml
September,1,020_1997.xml
July,4,020_1997.xml
January,4,020_1998.xml
November,5,020_1998.xml
December,7,020_1998.xml
October,2,020_1998.xml
August,1,020_1998.xml
September,1,020_1998.xml
July,4,020_1998.xml
January,4,020_1999.xml
November,5,020_1999.xml
December,7,020_1999.xml
October,2,020_1999.xml
August,1,020_1999.xml
September,1,020_1999.xml
July,4,020_1999.xml
January,4,020_2000.xml
November,5,020_2000.xml
December,7,020_2000.xml
October,2,020_2000.xml
August,1,020_2000.xml
September,1,020_2000.xml
July,4,020_2000.xml
January,4,020_2001.xml
November,5,020_2001.xml
December,4,020_2001.xml
October,2,020_2001.xml
August,1,020_2001.xml
September,1,020_2001.xml
July,4,020_2001.xml
January,4,020_2002.xml
November,5,020_2002.xml
December,4,020_2002.xml
October,2,020_2002.xml
August,1,020_2002.xml
September,1,020_2002.xml
July,4,020_2002.xml
May,4,020_2002.xml
January,4,020_2003.xml
November,5,020_2003.xml
December,4,020_2003.xml
October,2,020_2003.xml
August,1,020_2003.xml
September,1,020_2003.xml
July,4,020_2003.xml
May,4,020_2003.xml
January,4,020_2004.xml
November,5,020_2004.xml
October,2,020_2004.xml
August,1,020_2004.xml
September,1,020_2004.xml
December,2,020_2004.xml
July,4,020_2004.xml
May,4,020_2004.xml
January,4,020_2005.xml
November,5,020_2005.xml
October,2,020_2005.xml
August,1,020_2005.xml
September,1,020_2005.xml
December,2,020_2005.xml
July,4,020_2005.xml
May,4,020_2005.xml
January,4,020_2006.xml
November,5,020_2006.xml
October,2,020_2006.xml
August,1,020_2006.xml
September,1,020_2006.xml
December,2,020_2006.xml
July,4,020_2006.xml
May,4,020_2006.xml
January,5,020_2007.xml
November,5,020_2007.xml
October,3,020_2007.xml
August,1,020_2007.xml
September,1,020_2007.xml
December,2,020_2007.xml
July,5,020_2007.xml
April,1,020_2007.xml
May,4,020_2007.xml
January,5,020_2008.xml
November,5,020_2008.xml
October,3,020_2008.xml
August,1,020_2008.xml
September,1,020_2008.xml
December,2,020_2008.xml
July,5,020_2008.xml
April,1,020_2008.xml
May,4,020_2008.xml
January,5,020_2009.xml
November,5,020_2009.xml
October,3,020_2009.xml
August,1,020_2009.xml
September,1,020_2009.xml
December,2,020_2009.xml
July,5,020_2009.xml
April,1,020_2009.xml
May,4,020_2009.xml
January,5,020_2010.xml
November,5,020_2010.xml
October,3,020_2010.xml
August,1,020_2010.xml
September,1,020_2010.xml
December,2,020_2010.xml
July,5,020_2010.xml
April,1,020_2010.xml
May,4,020_2010.xml
January,5,020_2011.xml
November,5,020_2011.xml
October,3,020_2011.xml
August,1,020_2011.xml
September,1,020_2011.xml
December,2,020_2011.xml
July,5,020_2011.xml
April,1,020_2011.xml
May,4,020_2011.xml
January,5,020_2012.xml
November,5,020_2012.xml
October,3,020_2012.xml
August,1,020_2012.xml
September,1,020_2012.xml
December,2,020_2012.xml
July,5,020_2012.xml
April,1,020_2012.xml
May,4,020_2012.xml
January,5,020_2013.xml
November,5,020_2013.xml
October,3,020_2013.xml
August,1,020_2013.xml
September,1,020_2013.xml
December,2,020_2013.xml
July,5,020_2013.xml
April,1,020_2013.xml
May,4,020_2013.xml
January,5,020_2014.xml
November,3,020_2014.xml
October,3,020_2014.xml
August,1,020_2014.xml
September,1,020_2014.xml
July,4,020_2014.xml
April,1,020_2014.xml
May,4,020_2014.xml
January,5,020_2015.xml
November,3,020_2015.xml
October,3,020_2015.xml
August,1,020_2015.xml
September,1,020_2015.xml
July,4,020_2015.xml
April,1,020_2015.xml
May,4,020_2015.xml
January,5,020_2016.xml
November,3,020_2016.xml
October,3,020_2016.xml
August,1,020_2016.xml
September,1,020_2016.xml
July,4,020_2016.xml
April,1,020_2016.xml
May,4,020_2016.xml
January,5,020_2017.xml
November,3,020_2017.xml
October,3,020_2017.xml
August,1,020_2017.xml
September,1,020_2017.xml
July,4,020_2017.xml
April,1,020_2017.xml
May,4,020_2017.xml
January,5,020_2018.xml
November,3,020_2018.xml
October,3,020_2018.xml
August,1,020_2018.xml
September,1,020_2018.xml
July,4,020_2018.xml
April,1,020_2018.xml
May,4,020_2018.xml
January,5,020_2019.xml
November,3,020_2019.xml
October,3,020_2019.xml
August,1,020_2019.xml
September,1,020_2019.xml
July,4,020_2019.xml
April,1,020_2019.xml
May,4,020_2019.xml
November,1,030_1994.xml
December,3,030_1994.xml
January,2,030_1994.xml
June,1,030_1994.xml
November,1,030_1995.xml
