text,counts,file
September 30,1,010_1994.xml
September 30,1,010_1995.xml
September 30,1,010_1996.xml
September 30,1,010_1997.xml
September 30,1,010_1998.xml
September 30,1,010_1999.xml
September 30,1,010_2000.xml
September 30,1,010_2001.xml
September 30,1,010_2002.xml
September 30,1,010_2003.xml
September 30,1,010_2004.xml
September 30,1,010_2005.xml
September 30,1,010_2006.xml
September 30,1,010_2007.xml
September 30,1,010_2008.xml
September 30,1,010_2009.xml
September 30,1,010_2010.xml
September 30,1,010_2011.xml
September 30,1,010_2012.xml
January 3,8,020_1994.xml
December 31,9,020_1994.xml
June 30,7,020_1994.xml
September 30,4,020_1994.xml
October 1,10,020_1994.xml
March 31,2,020_1994.xml
April 1,3,020_1994.xml
October 19,9,020_1994.xml
January 2,1,020_1994.xml
July 31,5,020_1994.xml
December 15,1,020_1994.xml
January 1,4,020_1994.xml
January 31,6,020_1994.xml
July 1,5,020_1994.xml
June 1,1,020_1994.xml
January 19,1,020_1994.xml
March 15,1,020_1994.xml
February 15,1,020_1994.xml
January 15,1,020_1994.xml
April 15,3,020_1994.xml
May 15,2,020_1994.xml
June 10,1,020_1994.xml
June 19,1,020_1994.xml
October 10,1,020_1994.xml
October 15,1,020_1994.xml
January 3,8,020_1995.xml
December 31,9,020_1995.xml
June 30,7,020_1995.xml
September 30,4,020_1995.xml
October 1,10,020_1995.xml
March 31,2,020_1995.xml
April 1,3,020_1995.xml
October 19,9,020_1995.xml
January 2,1,020_1995.xml
July 31,5,020_1995.xml
December 15,1,020_1995.xml
January 1,5,020_1995.xml
January 31,6,020_1995.xml
July 1,5,020_1995.xml
June 1,1,020_1995.xml
January 19,1,020_1995.xml
March 15,2,020_1995.xml
February 15,1,020_1995.xml
January 15,1,020_1995.xml
April 15,3,020_1995.xml
May 15,2,020_1995.xml
June 10,1,020_1995.xml
June 19,1,020_1995.xml
October 10,1,020_1995.xml
October 15,1,020_1995.xml
October 1,11,020_1996.xml
March 1,1,020_1996.xml
June 30,6,020_1996.xml
September 30,4,020_1996.xml
March 31,2,020_1996.xml
April 1,3,020_1996.xml
January 1,6,020_1996.xml
July 1,6,020_1996.xml
December 31,8,020_1996.xml
October 19,9,020_1996.xml
January 2,1,020_1996.xml
January 3,4,020_1996.xml
July 31,5,020_1996.xml
December 15,1,020_1996.xml
January 31,6,020_1996.xml
June 1,1,020_1996.xml
January 19,1,020_1996.xml
March 15,2,020_1996.xml
February 15,1,020_1996.xml
January 15,1,020_1996.xml
April 15,3,020_1996.xml
May 15,2,020_1996.xml
June 10,1,020_1996.xml
June 19,1,020_1996.xml
October 10,1,020_1996.xml
October 15,1,020_1996.xml
May 19,1,020_1997.xml
September 19,1,020_1997.xml
October 1,10,020_1997.xml
March 1,1,020_1997.xml
June 30,5,020_1997.xml
September 30,4,020_1997.xml
March 31,3,020_1997.xml
April 1,3,020_1997.xml
January 1,6,020_1997.xml
July 1,5,020_1997.xml
December 31,8,020_1997.xml
October 19,9,020_1997.xml
January 2,1,020_1997.xml
January 3,4,020_1997.xml
July 31,5,020_1997.xml
December 15,1,020_1997.xml
January 31,6,020_1997.xml
June 1,1,020_1997.xml
January 19,1,020_1997.xml
March 15,2,020_1997.xml
February 15,1,020_1997.xml
January 15,1,020_1997.xml
April 15,3,020_1997.xml
May 15,2,020_1997.xml
June 10,1,020_1997.xml
October 10,1,020_1997.xml
October 15,1,020_1997.xml
May 19,1,020_1998.xml
September 19,1,020_1998.xml
October 1,10,020_1998.xml
March 1,1,020_1998.xml
June 30,5,020_1998.xml
September 30,4,020_1998.xml
March 31,3,020_1998.xml
April 1,3,020_1998.xml
January 1,6,020_1998.xml
July 1,5,020_1998.xml
December 31,7,020_1998.xml
October 19,9,020_1998.xml
January 2,1,020_1998.xml
January 3,4,020_1998.xml
July 31,5,020_1998.xml
December 15,1,020_1998.xml
January 31,6,020_1998.xml
June 1,1,020_1998.xml
January 19,1,020_1998.xml
March 15,2,020_1998.xml
February 15,1,020_1998.xml
January 15,1,020_1998.xml
April 15,3,020_1998.xml
May 15,2,020_1998.xml
June 10,1,020_1998.xml
October 10,1,020_1998.xml
October 15,1,020_1998.xml
May 19,1,020_1999.xml
September 19,1,020_1999.xml
October 1,10,020_1999.xml
March 1,1,020_1999.xml
