text,counts,file
75 percent,1,020_1994.xml
100 percent,2,020_1994.xml
5 per centum,1,020_1994.xml
10 per centum,1,020_1994.xml
20 per centum,1,020_1994.xml
4 per centum,1,020_1994.xml
0.25 percentage points,1,020_1994.xml
1 per centum,1,020_1994.xml
20 percent,5,020_1994.xml
200 percent,2,020_1994.xml
300 percent,1,020_1994.xml
90 percent,1,020_1994.xml
46 percent,1,020_1994.xml
16 percent,1,020_1994.xml
8 percent,1,020_1994.xml
53 percent,1,020_1994.xml
31 percent,1,020_1994.xml
12 percent,1,020_1994.xml
2 percent,7,020_1994.xml
0.1 percent,2,020_1994.xml
0.079 percent,1,020_1994.xml
0.042 percent,1,020_1994.xml
0.5 percent,2,020_1994.xml
4 percent,1,020_1994.xml
0.40 percent,1,020_1994.xml
3 percent,1,020_1994.xml
0.50 percent,1,020_1994.xml
1 percent,1,020_1994.xml
75 percent,1,020_1995.xml
100 percent,2,020_1995.xml
5 per centum,1,020_1995.xml
10 per centum,1,020_1995.xml
20 per centum,1,020_1995.xml
4 per centum,1,020_1995.xml
0.25 percentage points,1,020_1995.xml
1 per centum,1,020_1995.xml
20 percent,6,020_1995.xml
200 percent,2,020_1995.xml
300 percent,1,020_1995.xml
90 percent,1,020_1995.xml
46 percent,1,020_1995.xml
16 percent,1,020_1995.xml
8 percent,1,020_1995.xml
53 percent,1,020_1995.xml
31 percent,1,020_1995.xml
12 percent,1,020_1995.xml
2 percent,7,020_1995.xml
0.1 percent,2,020_1995.xml
0.079 percent,1,020_1995.xml
0.042 percent,1,020_1995.xml
0.5 percent,2,020_1995.xml
4 percent,1,020_1995.xml
0.40 percent,1,020_1995.xml
3 percent,1,020_1995.xml
0.50 percent,1,020_1995.xml
1 percent,1,020_1995.xml
96 percent,1,020_1995.xml
75 percent,1,020_1996.xml
100 percent,2,020_1996.xml
10 per centum,1,020_1996.xml
20 per centum,1,020_1996.xml
4 per centum,1,020_1996.xml
0.25 percentage points,1,020_1996.xml
1 per centum,1,020_1996.xml
20 percent,6,020_1996.xml
200 percent,2,020_1996.xml
300 percent,1,020_1996.xml
90 percent,1,020_1996.xml
46 percent,1,020_1996.xml
16 percent,1,020_1996.xml
8 percent,1,020_1996.xml
53 percent,1,020_1996.xml
31 percent,1,020_1996.xml
12 percent,1,020_1996.xml
2 percent,7,020_1996.xml
0.1 percent,2,020_1996.xml
0.079 percent,1,020_1996.xml
0.042 percent,1,020_1996.xml
0.5 percent,2,020_1996.xml
4 percent,1,020_1996.xml
0.40 percent,1,020_1996.xml
3 percent,1,020_1996.xml
0.50 percent,1,020_1996.xml
1 percent,1,020_1996.xml
96 percent,1,020_1996.xml
75 percent,2,020_1997.xml
100 percent,2,020_1997.xml
10 per centum,1,020_1997.xml
20 per centum,1,020_1997.xml
4 per centum,1,020_1997.xml
0.25 percentage points,1,020_1997.xml
1 per centum,1,020_1997.xml
20 percent,7,020_1997.xml
200 percent,2,020_1997.xml
300 percent,1,020_1997.xml
90 percent,1,020_1997.xml
2 percent,6,020_1997.xml
0.5 percent,1,020_1997.xml
4 percent,1,020_1997.xml
0.50 percent,1,020_1997.xml
96 percent,1,020_1997.xml
75 percent,2,020_1998.xml
100 percent,2,020_1998.xml
50 percent,2,020_1998.xml
10 per centum,1,020_1998.xml
20 per centum,1,020_1998.xml
4 per centum,1,020_1998.xml
0.25 percentage points,1,020_1998.xml
1 per centum,1,020_1998.xml
20 percent,7,020_1998.xml
200 percent,2,020_1998.xml
300 percent,1,020_1998.xml
90 percent,1,020_1998.xml
2 percent,6,020_1998.xml
4 percent,2,020_1998.xml
0.5 percent,1,020_1998.xml
0.50 percent,1,020_1998.xml
96 percent,1,020_1998.xml
75 percent,2,020_1999.xml
100 percent,2,020_1999.xml
50 percent,2,020_1999.xml
10 per centum,1,020_1999.xml
20 per centum,1,020_1999.xml
4 per centum,1,020_1999.xml
0.25 percentage points,1,020_1999.xml
1 per centum,1,020_1999.xml
20 percent,7,020_1999.xml
200 percent,2,020_1999.xml
300 percent,1,020_1999.xml
90 percent,1,020_1999.xml
2 percent,6,020_1999.xml
4 percent,2,020_1999.xml
0.5 percent,1,020_1999.xml
0.50 percent,1,020_1999.xml
96 percent,1,020_1999.xml
75 percent,2,020_2000.xml
100 percent,2,020_2000.xml
50 percent,2,020_2000.xml
10 per centum,1,020_2000.xml
20 per centum,1,020_2000.xml
4 per centum,1,020_2000.xml
0.25 percentage points,1,020_2000.xml
1 per centum,1,020_2000.xml
20 percent,7,020_2000.xml
200 percent,2,020_2000.xml
300 percent,1,020_2000.xml
90 percent,1,020_2000.xml
2 percent,6,020_2000.xml
4 percent,2,020_2000.xml
0.5 percent,1,020_2000.xml
0.50 percent,1,020_2000.xml
96 percent,1,020_2000.xml
75 percent,2,020_2001.xml
100 percent,2,020_2001.xml
2 percent,8,020_2001.xml
50 percent,2,020_2001.xml
10 per centum,1,020_2001.xml
20 per centum,1,020_2001.xml
4 per centum,1,020_2001.xml
0.25 percentage points,1,020_2001.xml
1 per centum,1,020_2001.xml
20 percent,7,020_2001.xml
200 percent,2,020_2001.xml
300 percent,1,020_2001.xml
90 percent,1,020_2001.xml
4 percent,2,020_2001.xml
0.5 percent,1,020_2001.xml
0.50 percent,1,020_2001.xml
96 percent,1,020_2001.xml
75 percent,2,020_2002.xml
100 percent,3,020_2002.xml
2 percent,8,020_2002.xml
50 percent,6,020_2002.xml
10 per centum,1,020_2002.xml
20 per centum,1,020_2002.xml
4 per centum,1,020_2002.xml
0.25 percentage points,1,020_2002.xml
1 per centum,1,020_2002.xml
20 percent,8,020_2002.xml
25 percent,3,020_2002.xml
200 percent,2,020_2002.xml
300 percent,3,020_2002.xml
000 percent,3,020_2002.xml
110 percent,1,020_2002.xml
90 percent,1,020_2002.xml
4 percent,2,020_2002.xml
0.5 percent,1,020_2002.xml
0.50 percent,1,020_2002.xml
96 percent,1,020_2002.xml
135 percent,1,020_2002.xml
95 percent,1,020_2002.xml
75 percent,2,020_2003.xml
100 percent,3,020_2003.xml
2 percent,8,020_2003.xml
50 percent,6,020_2003.xml
10 per centum,1,020_2003.xml
20 per centum,1,020_2003.xml
4 per centum,1,020_2003.xml
0.25 percentage points,1,020_2003.xml
1 per centum,3,020_2003.xml
20 percent,8,020_2003.xml
25 percent,4,020_2003.xml
200 percent,2,020_2003.xml
300 percent,3,020_2003.xml
000 percent,3,020_2003.xml
110 percent,1,020_2003.xml
90 percent,1,020_2003.xml
4 percent,2,020_2003.xml
0.5 percent,1,020_2003.xml
0.50 percent,1,020_2003.xml
96 percent,1,020_2003.xml
135 percent,1,020_2003.xml
95 percent,1,020_2003.xml
75 percent,2,020_2004.xml
100 percent,3,020_2004.xml
2 percent,8,020_2004.xml
50 percent,6,020_2004.xml
10 per centum,1,020_2004.xml
20 per centum,1,020_2004.xml
4 per centum,1,020_2004.xml
0.25 percentage points,1,020_2004.xml
1 per centum,3,020_2004.xml
20 percent,8,020_2004.xml
25 percent,4,020_2004.xml
200 percent,2,020_2004.xml
300 percent,3,020_2004.xml
000 percent,3,020_2004.xml
110 percent,1,020_2004.xml
90 percent,1,020_2004.xml
4 percent,2,020_2004.xml
0.5 percent,1,020_2004.xml
0.50 percent,1,020_2004.xml
96 percent,1,020_2004.xml
135 percent,1,020_2004.xml
95 percent,1,020_2004.xml
75 percent,2,020_2005.xml
100 percent,3,020_2005.xml
2 percent,8,020_2005.xml
50 percent,6,020_2005.xml
10 per centum,1,020_2005.xml
20 per centum,1,020_2005.xml
4 per centum,1,020_2005.xml
0.25 percentage points,1,020_2005.xml
1 per centum,3,020_2005.xml
20 percent,7,020_2005.xml
25 percent,4,020_2005.xml
200 percent,2,020_2005.xml
300 percent,3,020_2005.xml
000 percent,3,020_2005.xml
110 percent,1,020_2005.xml
90 percent,1,020_2005.xml
0.5 percent,1,020_2005.xml
4 percent,1,020_2005.xml
0.50 percent,1,020_2005.xml
96 percent,1,020_2005.xml
135 percent,1,020_2005.xml
95 percent,1,020_2005.xml
75 percent,2,020_2006.xml
100 percent,3,020_2006.xml
2 percent,8,020_2006.xml
50 percent,6,020_2006.xml
10 per centum,1,020_2006.xml
20 per centum,1,020_2006.xml
4 per centum,1,020_2006.xml
0.25 percentage points,1,020_2006.xml
1 per centum,3,020_2006.xml
20 percent,7,020_2006.xml
25 percent,4,020_2006.xml
200 percent,2,020_2006.xml
300 percent,3,020_2006.xml
000 percent,3,020_2006.xml
110 percent,1,020_2006.xml
90 percent,1,020_2006.xml
0.5 percent,1,020_2006.xml
4 percent,1,020_2006.xml
0.50 percent,1,020_2006.xml
