text,counts,file
60-day period,1,010_1994.xml
60-day period,1,010_1995.xml
60-day period,1,010_1996.xml
60-day period,1,010_1997.xml
60-day period,1,010_1998.xml
60-day period,1,010_1999.xml
60-day period,1,010_2000.xml
60-day period,1,010_2001.xml
60-day period,1,010_2002.xml
60-day period,1,010_2003.xml
180 days,1,010_2004.xml
60-day period,1,010_2004.xml
180 days,1,010_2005.xml
60-day period,1,010_2005.xml
180 days,1,010_2006.xml
60-day period,1,010_2006.xml
180 days,1,010_2007.xml
60-day period,1,010_2007.xml
180 days,1,010_2008.xml
60-day period,1,010_2008.xml
180 days,1,010_2009.xml
60-day period,1,010_2009.xml
180 days,1,010_2010.xml
60-day period,1,010_2010.xml
180 days,1,010_2011.xml
60-day period,1,010_2011.xml
180 days,1,010_2012.xml
60-day period,1,010_2012.xml
180 days,1,010_2013.xml
60-day period,1,010_2013.xml
180 days,1,010_2014.xml
60-day period,1,010_2014.xml
180 days,1,010_2015.xml
60-day period,1,010_2015.xml
180 days,1,010_2016.xml
60-day period,1,010_2016.xml
180 days,1,010_2017.xml
60-day period,1,010_2017.xml
180 days,1,010_2018.xml
60-day period,1,010_2018.xml
180 days,1,010_2019.xml
60-day period,1,010_2019.xml
3 days,2,020_1994.xml
7 days,1,020_1994.xml
5 years,5,020_1994.xml
60 days,8,020_1994.xml
60-day period,2,020_1994.xml
180 days,5,020_1994.xml
2 years,3,020_1994.xml
3 years,6,020_1994.xml
12 months,4,020_1994.xml
90 days,7,020_1994.xml
12-month period,1,020_1994.xml
1 year,2,020_1994.xml
10 years,3,020_1994.xml
10 days,14,020_1994.xml
30 days,12,020_1994.xml
15 days,8,020_1994.xml
5 days,4,020_1994.xml
20 days,3,020_1994.xml
6 years,2,020_1994.xml
10-day period,2,020_1994.xml
45-day period,4,020_1994.xml
120-day period,1,020_1994.xml
4 business days,1,020_1994.xml
6 months,3,020_1994.xml
18 years,1,020_1994.xml
15 calendar days,5,020_1994.xml
15-day period,1,020_1994.xml
45 calendar days,2,020_1994.xml
25-day period,1,020_1994.xml
25 calendar days,2,020_1994.xml
4 years,1,020_1994.xml
4 year,3,020_1994.xml
5 calendar days,5,020_1994.xml
120 days,1,020_1994.xml
60 years,1,020_1994.xml
41 years,1,020_1994.xml
45 days,1,020_1994.xml
60 calendar days,1,020_1994.xml
3 days,2,020_1995.xml
7 days,1,020_1995.xml
5 years,10,020_1995.xml
60 days,13,020_1995.xml
60-day period,4,020_1995.xml
180 days,9,020_1995.xml
90 days,9,020_1995.xml
3 years,7,020_1995.xml
12-month period,1,020_1995.xml
1 year,18,020_1995.xml
10 years,5,020_1995.xml
10 days,12,020_1995.xml
30 days,18,020_1995.xml
15 days,8,020_1995.xml
5 days,3,020_1995.xml
20 days,3,020_1995.xml
6 years,5,020_1995.xml
10-day period,2,020_1995.xml
45-day period,4,020_1995.xml
120-day period,1,020_1995.xml
4 business days,1,020_1995.xml
6 months,4,020_1995.xml
2 years,4,020_1995.xml
12 months,6,020_1995.xml
18 years,1,020_1995.xml
5-year period,1,020_1995.xml
5-year time period,1,020_1995.xml
15 calendar days,4,020_1995.xml
15-day period,1,020_1995.xml
45 calendar days,2,020_1995.xml
25-day period,1,020_1995.xml
25 calendar days,2,020_1995.xml
4 years,3,020_1995.xml
4 year,3,020_1995.xml
5 calendar days,5,020_1995.xml
120 days,1,020_1995.xml
60 years,1,020_1995.xml
41 years,1,020_1995.xml
7 years,1,020_1995.xml
30 calendar days,1,020_1995.xml
18 months,1,020_1995.xml
45 days,3,020_1995.xml
9 months,1,020_1995.xml
3 months,1,020_1995.xml
4 months,1,020_1995.xml
4-year period,1,020_1995.xml
3 days,2,020_1996.xml
7 days,1,020_1996.xml
5 years,10,020_1996.xml
60 days,14,020_1996.xml
3 years,7,020_1996.xml
60-day period,4,020_1996.xml
180 days,9,020_1996.xml
120 days,2,020_1996.xml
12-month period,3,020_1996.xml
90 days,10,020_1996.xml
10 years,5,020_1996.xml
4 years,4,020_1996.xml
2-year period,1,020_1996.xml
7 years,2,020_1996.xml
10 days,12,020_1996.xml
30 days,18,020_1996.xml
15 days,8,020_1996.xml
5 days,3,020_1996.xml
20 days,3,020_1996.xml
6 years,5,020_1996.xml
10-day period,2,020_1996.xml
45-day period,4,020_1996.xml
120-day period,1,020_1996.xml
4 business days,1,020_1996.xml
6 months,4,020_1996.xml
2 years,4,020_1996.xml
12 months,6,020_1996.xml
18 years,1,020_1996.xml
5-year period,1,020_1996.xml
5-year time period,1,020_1996.xml
15 calendar days,4,020_1996.xml
15-day period,1,020_1996.xml
45 calendar days,2,020_1996.xml
25-day period,1,020_1996.xml
25 calendar days,2,020_1996.xml
10 calendar days,2,020_1996.xml
30 calendar days,3,020_1996.xml
