text,counts,file
Fiscal Years 1994 and 1995,1,010_1994.xml
Fiscal Years 1994 and 1995,1,010_1995.xml
Fiscal Years 1994 and 1995,1,010_1996.xml
Fiscal Years 1994 and 1995,1,010_1997.xml
Fiscal Years 1994 and 1995,1,010_1998.xml
Fiscal Years 1994 and 1995,1,010_1999.xml
Fiscal Years 1994 and 1995,1,010_2000.xml
Fiscal Years 1994 and 1995,1,010_2001.xml
Fiscal Years 1994 and 1995,1,010_2002.xml
Fiscal Years 1994 and 1995,1,010_2003.xml
Fiscal Years 1994 and 1995,1,010_2004.xml
Fiscal Years 1994 and 1995,1,010_2005.xml
Fiscal Years 1994 and 1995,1,010_2006.xml
Fiscal Years 1994 and 1995,1,010_2007.xml
Fiscal Years 1994 and 1995,1,010_2008.xml
Fiscal Years 1994 and 1995,1,010_2009.xml
Fiscal Years 1994 and 1995,1,010_2010.xml
Fiscal Years 1994 and 1995,1,010_2011.xml
Fiscal Years 1994 and 1995,1,010_2012.xml
Fiscal Years 1994 and 1995,1,010_2013.xml
Fiscal Years 1994 and 1995,1,010_2014.xml
Fiscal Years 1994 and 1995,1,010_2015.xml
Fiscal Years 1994 and 1995,1,010_2016.xml
Fiscal Years 1994 and 1995,1,010_2017.xml
Fiscal Years 1994 and 1995,1,010_2018.xml
Fiscal Years 1994 and 1995,1,010_2019.xml
fiscal year 1978,2,020_1994.xml
fiscal year 1983,1,020_1994.xml
fiscal year 1957,1,020_1994.xml
year 1977,2,020_1994.xml
fiscal year 1991,6,020_1994.xml
fiscal year 1990,1,020_1994.xml
fiscal year 1955,1,020_1994.xml
fiscal year 1995,9,020_1994.xml
fiscal year 1987,1,020_1994.xml
year 1974,1,020_1994.xml
fiscal year 1992,8,020_1994.xml
fiscal year 1993,7,020_1994.xml
fiscal year 1994,8,020_1994.xml
"fiscal years 1996, 1997, and 1998",1,020_1994.xml
"fiscal year 1995, 1996, 1997, or 1998",1,020_1994.xml
fiscal years 1992 through 1995,1,020_1994.xml
"fiscal year 1992, 1993, 1994, or 1995",1,020_1994.xml
"fiscal years 1992, 1993, 1994, and 1995",2,020_1994.xml
years 1993 and 1994,1,020_1994.xml
fiscal years 1991 through 1995,1,020_1994.xml
"fiscal years 1991, 1992, and 1993",4,020_1994.xml
fiscal years 1994 and 1995,2,020_1994.xml
year 1991,1,020_1994.xml
"year 1992, 1993, 1994, or 1995",2,020_1994.xml
"year 1992, 1993, 1994, 1995, 1996, 1997, or 1998",1,020_1994.xml
"year 1996, 1997, or 1998",1,020_1994.xml
fiscal year 1993 or 1994,2,020_1994.xml
"fiscal year 1991, 1992, 1993, 1994, 1995, 1996, 1997, or 1998",1,020_1994.xml
year 1990 or 1991,1,020_1994.xml
"fiscal year 1991, 1992, 1993, 1994, or 1995",1,020_1994.xml
fiscal years 1992 and 1993,3,020_1994.xml
"fiscal years 1994, 1995, 1996, 1997, and 1998",1,020_1994.xml
"fiscal year 1991, 1992, or 1993",1,020_1994.xml
fiscal year 1994 or 1995,3,020_1994.xml
